Layers,Mixes_per_Layer,Run,Target_Index,Entropy
3,3,13,22,6.21702371549998
3,3,14,22,5.531681336871132
3,4,0,0,9.928508201752521
3,4,1,0,9.962558573300742
3,4,2,0,9.913512929137793
3,4,3,0,10.05370538377257
3,4,4,0,9.913913522030597
3,4,5,0,10.077205958408374
3,4,6,0,9.911359946881808
3,4,7,0,10.006579919721535
3,4,8,0,9.970396666821841
3,4,9,0,9.85030980956901
3,4,10,0,10.004607677781195
3,4,11,0,9.955227686760722
3,4,12,0,9.860125062408075
3,4,13,0,9.997892183059763
3,4,14,0,9.92006554722243
3,4,0,1,9.830017062294496
3,4,1,1,9.951362824070113
3,4,2,1,10.035497829020938
3,4,3,1,10.00527189208363
3,4,4,1,9.923941258369416
3,4,5,1,9.988805539908865
3,4,6,1,9.961466183799335
3,4,7,1,10.01676132608412
3,4,8,1,10.058603373246857
3,4,9,1,9.853008461839437
3,4,10,1,10.011193032691816
3,4,11,1,10.01496966574167
3,4,12,1,9.888654703485553
3,4,13,1,9.873594135389975
3,4,14,1,9.88841971970951
3,4,0,2,10.044233568792103
3,4,1,2,9.95607394550812
3,4,2,2,9.97714026189737
3,4,3,2,10.0864802320348
3,4,4,2,9.895965083869267
3,4,5,2,10.023200047590171
3,4,6,2,9.87273857309489
3,4,7,2,9.983988401556127
3,4,8,2,10.125067178619437
3,4,9,2,9.87587605491724
3,4,10,2,9.935713368787058
3,4,11,2,9.969554917032863
3,4,12,2,9.862682836510722
3,4,13,2,9.934034957977172
3,4,14,2,9.875549188955366
3,4,0,3,10.00671834624355
3,4,1,3,9.949247638440653
3,4,2,3,9.911161269130272
3,4,3,3,10.072569785191535
3,4,4,3,9.894315186403727
3,4,5,3,10.026053435372884
3,4,6,3,9.897647457895983
3,4,7,3,9.977461781456888
3,4,8,3,10.046422773402012
3,4,9,3,9.858856515886854
3,4,10,3,9.994718417138133
3,4,11,3,9.988292778929507
3,4,12,3,9.939588130209428
3,4,13,3,9.873581497764162
3,4,14,3,9.847066803252604
3,4,0,4,10.037058217538975
3,4,1,4,9.83519316824736
3,4,2,4,9.966930899221643
3,4,3,4,10.122150794607219
3,4,4,4,9.85856923424738
3,4,5,4,10.01117731467536
3,4,6,4,9.868110308483109
3,4,7,4,10.013974459721268
3,4,8,4,10.044224947520615
3,4,9,4,9.848974277030814
3,4,10,4,10.030824419710028
3,4,11,4,9.98841291079391
3,4,12,4,9.980907623021883
3,4,13,4,9.878825311168978
3,4,14,4,9.869665851970268
3,4,0,5,10.069051606173549
3,4,1,5,9.932643527293925
3,4,2,5,9.89699216618361
3,4,3,5,10.063216629074356
3,4,4,5,9.91976275085221
3,4,5,5,10.039182401787853
3,4,6,5,9.924880211294722
3,4,7,5,9.99279147014738
3,4,8,5,10.153076257483436
3,4,9,5,9.921840683188666
3,4,10,5,10.000270535917549
3,4,11,5,9.989903409915524
3,4,12,5,10.013756199263414
3,4,13,5,9.915201304196874
3,4,14,5,9.902240227550504
3,4,0,6,10.096102456391092
3,4,1,6,9.847031045391207
3,4,2,6,9.910479756607257
3,4,3,6,10.0994888650785
3,4,4,6,10.03914345036582
3,4,5,6,10.027323460947958
3,4,6,6,9.996455434527908
3,4,7,6,9.936254025871449
3,4,8,6,10.087762805693423
3,4,9,6,9.955878639481547
3,4,10,6,9.977870246259751
3,4,11,6,9.994425038949446
3,4,12,6,10.030894809963506
3,4,13,6,9.948535827613048
3,4,14,6,9.990538413011558
3,4,0,7,10.103292467934756
3,4,1,7,9.87045417391216
3,4,2,7,10.005261782418357
3,4,3,7,10.068724843914637
3,4,4,7,10.036497780954361
3,4,5,7,10.033555622927182
3,4,6,7,9.94065264776382
